																															Class	Sample 1	Sample 1	Sample 1	Sample 2	Sample 2	Sample 2	Sample 3	Sample 3	Sample 3	Sample 4	Sample 4	Sample 4	Sample 5	Sample 5	Sample 5	Blank	Blank	Heavy pool	Heavy pool	Heavy pool	Blank	Blank	Light pool	Light pool	Light pool	Mixed pool	Mixed pool	Mixed pool	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																															File type	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Blank	Blank	QC	QC	QC	Blank	Blank	QC	QC	QC	QC	QC	QC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																															Injection order	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	1	2	5	6	7	3	4	8	9	10	11	12	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Average	Average	Average	Average	Average	Average	Average	Average	Average	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	0010P-P01	0010P-P02	0010P-P03	0050P-P01	0050P-P02	0050P-P03	0100P-P01	0100P-P02	0100P-P03	0150P-P01	0150P-P02	0150P-P03	1000P-P01	1000P-P02	1000P-P03	Heavy_Blank-P01	Heavy_Blank-P02	Heavy_Pool-P01	Heavy_Pool-P02	Heavy_Pool-P03	Light_Blank-P01	Light_Blank-P02	Light_Pool-P01	Light_Pool-P02	Light_Pool-P03	Mixed_Pool-P01	Mixed_Pool-P02	Mixed_Pool-P03	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Blank	Heavy pool	Light pool	Mixed pool	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Blank	Heavy pool	Light pool	Mixed pool
1	2.235	250.0779	Unknown	[M+H]+	ion correlated with 4; ion correlated with 23; ion correlated with 3; ion correlated with 22; adduct linked to 15_[M+2H]+	0.714	False	null	null	null	null	null	null	999	False	False	False		False	False	1	0	null	null	null	null	null	622.88	Light_Pool-P02	250.07684:23190062 251.08019:5896666112 252.08355:803871232		1291960	2082193	2246036	8574941	8166101	8951732	11947409	14723680	12981056	17043778	16353596	17549688	20466096	23128108	21725464	4038	1724	0	0	0	72916	76172	23637588	23190062	23841754	10869859	11885210	12935024	1873396.25	8564258	13217381.6666667	16982354	21773222.6666667	38712.734375	0	23556468	11896697.6666667	510159.184814652	392924.435365122	1403142.02128806	600407.11100719	1331648.46702023	41406.7552403884	0	333333.101440586	1032630.42477468
97	2.235	254.09486	Unknown			0.714	False	null	null	null	null	null	null	999	False	False	False		False	False	1	4	null	null	null	null	null	3094.49	0010P-P01	254.09566:662512320 255.09901:179080064 256.10237:35826396		662512320	653272832	673480960	519131872	522397632	504556224	385088288	388242880	381672736	251023280	258252384	252906768	71134840	72592576	72265504	187251	198057	246081328	733988160	714733184	1408	0	2870789	3604150	3130484	363465920	366713920	362109312	663088704	515361909.333333	385001301.333333	254060810.666667	71997640	96679	564934224	3201807.58333333	364096384	10116386.3707694	9499390.70344311	3285935.64381857	3750179.59810851	764893.393418978	110911.931724191	276302489.114521	371847.021956975	2366160.88841989
3	2.241	251.00934	Unknown		ion correlated with 4; ion correlated with 1; ion correlated with 23; ion correlated with 22; ion correlated with 3919	0.071	False	null	null	null	null	null	null	999	False	False	False		False	False	3	0	null	null	null	null	null	188.08	1000P-P03	251.00934:18795076 252.01269:3180171 253.01605:3149035		2112107	2421397	2049135	7898354	7097318	7216834	12783710	11419975	11729664	15617255	15713132	16796214	21140334	22007196	18795076	5341	234	0	0	0	5715	6361	17398948	23118570	23451230	10311271	10859605	11457352	2194213.04166667	7404169	11977783	16042200.3333333	20647535.3333333	4412.734375	0	21322916	10876076	199250.578910794	432128.996935811	714923.468755223	654752.286687365	1661796.20230681	2817.4613117422	0	3402324.10532389	573218.008283934
26	2.231	252.01514	Unknown	[M+H]+	ion correlated with 27; ion correlated with 3233	0.071	False	null	null	null	null	null	null	999	False	False	False		False	False	3	1	null	null	null	null	null	270.12	Light_Pool-P02	252.01514:4078054 253.01849:0 254.02185:0		0	0	0	485828	1111031	588925	1807429	1299515	2074804	2120651	2325291	2027405	2397663	3184716	2907948	1636	0	0	0	0	3603	0	3521178	4078054	3608640	1948232	2041090	1804218	0	728594.4375	1727249.375	2157782.5	2830108.83333333	1309.703125	0	3735957.41666667	1931179.875	0	335187.054380257	393814.494359158	152374.62816423	399258.287993525	1712.447772451	0	299474.017407639	119353.2845053
52	2.231	253.01895	Unknown			0.536	False	null	null	null	null	null	null	999	False	False	False		False	False	3	2	null	null	null	null	null	913.84	0010P-P01	253.01915:30444626 254.0225:3038264 255.02586:0		30444626	28269248	22378728	22897726	21433856	21501172	15980678	17110950	16550574	10635012	11110499	11226831	3525572	3068273	3229344	14274	13552	7880293	31715394	29828378	0	172	0	0	0	15870501	14243333	16940456	27030867.3333333	21944251.3333333	16547400.6666667	10990780.6666667	3274396.16666667	6999.296875	23141355	0	15684763.3333333	4173112.46472957	826418.97119157	565142.682009891	313547.112396739	231954.523410481	7988.53331073394	13250102.5419408	0	1358120.7530615
79	2.243	254.02161	Unknown			0.071	False	null	null	null	null	null	null	999	False	False	False		False	False	3	3	null	null	null	null	null	104.71	0010P-P02	254.02161:3150331 255.02496:0 256.02832:0		3217894	3150331	3036627	1918127	2434000	1645043	1192769	1366889	493376	0	506798	439930	0	0	0	1626	0	1022650	1389901	1988375	0	1440	0	0	0	1304249	1284023	1323136	3134950.91666667	1999056.33333333	1017677.83333333	315576.333333333	0	766.578125	1466975.5	0	1303802.58333333	91607.1187361868	400656.194806122	462329.890636298	275334.61274617	0	888.412672409278	487454.060406017	0	19559.8814590659
